extraction_row_id,source_page,raw_part_number,raw_designation,evidence_snippet,validation_status,review_decision_active,corrected_part_number,corrected_designation,rationale
728d1f64-dfd7-4e62-904d-ca3f1c257de1,3,"7.2 28 1010 Keilsicherungsscheibe Wedge lock washer","","7.2 28 1010 Keilsicherungsscheibe Wedge lock washer",NEEDS_REVIEW,"","","",""
dd54e8f0-762e-4582-bbd2-5af40493bd28,3,"","M 20 (21,4 x 39,0 x 3,4)","M 20 (21,4 x 39,0 x 3,4)",NEEDS_REVIEW,"","","",""
d782f4dd-f23b-4386-a08b-4f0d4b39d06b,3,"ohne Abbildung / not illustrated","","ohne Abbildung / not illustrated",NEEDS_REVIEW,"","","",""
898e8556-a759-4528-a69a-0e4462e36f24,3,"1 17514 Axialkolbenverstellmotor","","1 17514 Axialkolbenverstellmotor",NEEDS_REVIEW,"","","",""
403d5d9c-d712-43c7-b68d-9366cb0f9693,3,"Axial-piston motor","","Axial-piston motor",NEEDS_REVIEW,"","","",""
26d46f94-a1d1-4691-94b2-8af57c1c915b,3,"H1B210 AA 83086963","","H1B210 AA 83086963",NEEDS_REVIEW,"","","",""
d512a3f5-f55b-46c9-89a6-a64bd72dd1e0,3,"S/N N223512701 V","","S/N N223512701 V",NEEDS_REVIEW,"","","",""
08b7cbae-aaa5-4b86-9c47-0074e09e86a6,3,"1 13593 Steuerblock","","1 13593 Steuerblock",NEEDS_REVIEW,"","","",""
bf8f6c35-ce6e-4da5-a3a5-8c3e63adcf64,3,"Control block","","Control block",NEEDS_REVIEW,"","","",""
7f306d5d-9a5c-4f71-b4f3-c6c3d4ac35ad,3,"A496-01-00-BM-VE-S","","A496-01-00-BM-VE-S",NEEDS_REVIEW,"","","",""
dcb38fac-ff75-458e-8022-4542ac303ebf,3,"S/N 2028873004 V","","S/N 2028873004 V",NEEDS_REVIEW,"","","",""
dc0c5f8f-9db3-48ae-9a46-b7eddfbb840e,3,"1 17514 Axialkolbenverstellmotor","","1 17514 Axialkolbenverstellmotor",NEEDS_REVIEW,"","","",""
0bd58ec5-7227-48d2-af7c-3fdaf43baf05,3,"Axial-piston motor","","Axial-piston motor",NEEDS_REVIEW,"","","",""
7f3ca356-614b-40bd-9082-8b7ccf078d5d,3,"H1B210 AA 83086963","","H1B210 AA 83086963",NEEDS_REVIEW,"","","",""
d286ece1-cf1c-470b-8a85-ef8ddaf11a36,3,"S/N N223512702 V","","S/N N223512702 V",NEEDS_REVIEW,"","","",""
233fe813-8739-4460-aea2-7723120f396d,3,"1 13593 Steuerblock","","1 13593 Steuerblock",NEEDS_REVIEW,"","","",""
2f2d140b-0cfd-4fde-b473-06db7966537f,3,"Control block","","Control block",NEEDS_REVIEW,"","","",""
f9cdc0ed-0165-4cba-b1a5-67b42e5f301a,3,"A496-01-00-BM-VE-S","","A496-01-00-BM-VE-S",NEEDS_REVIEW,"","","",""
b5b88b1d-dce4-4f2c-925f-bee5dbf04093,3,"S/N 2028873003 V","","S/N 2028873003 V",NEEDS_REVIEW,"","","",""
7356cdee-247e-4ccc-be34-edf6aced1dae,4,"","4 / 31","4 / 31",REJECTED,"","","",""
f8a15638-cf87-43bc-a886-10089148d35a,4,"HAMMEL Recyclingtechnik GmbH","","HAMMEL Recyclingtechnik GmbH",NEEDS_REVIEW,"","","",""
3fbe20e5-5069-45a8-9ac2-54c62cac41d0,4,"Antriebsmotor / Engine","","Antriebsmotor / Engine",NEEDS_REVIEW,"","","",""
be2790a2-e59a-442b-bf67-d541ce20c8d2,8,"4 787","","4 787",REJECTED,"","","",""
cfafeb17-a650-4ac7-b047-6897c24000e2,4,"Antriebseinheit / Drive unit","","Antriebseinheit / Drive unit",NEEDS_REVIEW,"","","",""
5ac93aed-56cf-4fd2-9bab-b0003224a275,4,"Typ / Zeichnungsnr. Type / Drawing no.","","Typ / Zeichnungsnr. Type / Drawing no.",NEEDS_REVIEW,"","","",""
3fdf6ef8-36c4-4c4b-8867-e3a144613662,4,"1 13629 Antriebsmotor","","1 13629 Antriebsmotor",NEEDS_REVIEW,"","","",""
d6e4013b-d0c0-4cd1-a4e5-747ef5c90107,4,"Drive engine","","Drive engine",NEEDS_REVIEW,"","","",""
d923d443-6040-4c9a-a29b-b871fd349ecd,4,"C9.3B EPA Tier4final / EU stage V 280 kW / 375 HP/ 381PS","","C9.3B EPA Tier4final / EU stage V 280 kW / 375 HP/ 381PS",NEEDS_REVIEW,"","","",""
9c427e21-2744-450f-a3cb-e19eb1c516f9,4,"1 203","","1 203",REJECTED,"","","",""
ea74a326-5cab-4b0c-84e3-702cde76b77e,4,"Motor�lfilter","","Motor�lfilter",NEEDS_REVIEW,"","","",""
2567f7ea-7c09-4dfb-8d80-39abc364dbe3,4,"Engine oil filter","","Engine oil filter",NEEDS_REVIEW,"","","",""
a247b98f-c7f6-4dc8-b720-c58f7d2c5da5,4,"1R-1808","","1R-1808",REJECTED,"","","",""
74be56f2-b9ac-45f5-9cfb-011f22ca277a,4,"2 898","","2 898",REJECTED,"","","",""
278cd0a6-6195-4df5-80c6-e3c4b70d259f,4,"Dieselfilter","","Dieselfilter",NEEDS_REVIEW,"","","",""
b29a6f9e-265b-474f-9b87-f6a01a3a9611,4,"Fuel filter","","Fuel filter",NEEDS_REVIEW,"","","",""
b979a183-2989-41fe-a1d4-b4232b433241,4,"1R-0749","","1R-0749",REJECTED,"","","",""
37fcbc3d-48d8-44be-8e82-942c79943cd8,4,"1 897","","1 897",REJECTED,"","","",""
40cbd38d-b814-42de-9c5e-78c7dc5a949c,4,"Wasserabscheider","","Wasserabscheider",NEEDS_REVIEW,"","","",""
0842a647-e43e-43bc-ab71-9da5a654fb05,4,"Water separator","","Water separator",NEEDS_REVIEW,"","","",""
